meal_names,meal_ingredients,meal_tags,meal_urls,meal_cousine_names,meal_images
Нут с баклажаном,"{'Нут': '100 г', 'Баклажаны': '2 штуки', 'Оливковое масло': '4 столовые ложки', 'Кинза': '1 пучок', 'Петрушка': '4 стебля', 'Чеснок': '2 зубчика', 'Лимонный сок': '2 столовые ложки', 'Белый винный уксус': '1 столовая ложка', 'Семена зиры': '½ чайной ложки', 'Молотая паприка': '½ чайной ложки', 'Морская соль': 'по вкусу'}","['Пошаговые рецепты', 'Салаты', 'Тайская кухня', 'Веганская еда']",https://eda.ru/recepty/salaty/nut-s-baklazhanom-22649,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120131084420/171007201419/p_O.jpg
Суп том-ям-кунг,"{'Куриный бульон': '2 л', 'Перечная паста том-ям': '100 г', 'Лимон': '2 штуки', 'Рыбный соус': '20 мл', 'Сахар': '50 г', 'Лимонная трава': '2 столовые ложки', 'Имбирь': '30 г', 'Листья лайма': '4 штуки', 'Очищенные креветки': '500 г', 'Шампиньоны': '200 г', 'Кокосовое молоко': '200 мл', 'Кинза': '50 г', 'Перец чили': '1 штука'}","['Пошаговые рецепты', 'Супы', 'Тайская кухня']",https://eda.ru/recepty/supy/sup-tom-jam-kung-17540,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/130829212936/130904175159/p_O.jpg
Капуста с креветками и лимонной травой,"{'Белокочанная капуста': '1 штука', 'Рисовый уксус для суши': '100 мл', 'Тростниковый сахар': '4 чайные ложки', 'Кинза': '1 пучок', 'Подсолнечное масло': '50 мл', 'Оливковое масло': '50 мл', 'Соевый соус': '2 столовые ложки', 'Лавровый лист': '2 штуки', 'Креветки': '500 г', 'Чеснок': '5 зубчиков', 'Белый лук': '1 головка', 'Имбирь': '50 г', 'Лимонная трава': '4 штуки'}","['Пошаговые рецепты', 'Основные блюда', 'Тайская кухня']",https://eda.ru/recepty/osnovnye-blyuda/kapusta-s-krevetkami-limonnoj-travoj-16455,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/130725133817/130904121429/p_O.jpg
Том кха гай,"{'Кокосовое молоко': '6 стаканов', 'Куриная грудка': '400 г', 'Галангал': '1 штука', 'Лимонная трава': '3 штуки', 'Репчатый лук': '1 штука', 'Помидоры': '2 штуки', 'Листья лайма': '6 штук', 'Вешенки': '200 г', 'Тайский острый перец птичий глаз': '5 штук', 'Соль': '½ столовой ложки', 'Сок лайма': 'по вкусу', 'Кинза': '1 пучок'}","['Пошаговые рецепты', 'Супы', 'Тайская кухня']",https://eda.ru/recepty/supy/tom-kha-gay-50328,Тайская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/170224135654/191007120650/p_O.jpg
Курица в белом вине в тайском стиле,"{'Белое сухое вино': '750 мл', 'Курица': '1,899 кг', 'Чеснок': '4 зубчика', 'Красный лук': '1 головка', 'Имбирь': '50 г', 'Сельдерей': '4 стебля', 'Лук-порей': '1 стебель', 'Черный перец горошком': '8 штук', 'Лавровый лист': 'по вкусу', 'Зеленая паста карри': '1 чайная ложка', 'Базилик': '50 г', 'Кинза': '50 г', 'Соль': 'по вкусу', 'Лимонная трава': '1 стебель', 'Молотый черный перец': 'по вкусу'}","['Пошаговые рецепты', 'Основные блюда', 'Тайская кухня']",https://eda.ru/recepty/osnovnye-blyuda/kurica-v-belom-vine-v-tayskom-stile-19296,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/150615095301/150617163722/p_O.jpg
Пад-тай с курицей,"{'Рыбный соус': '30 мл', 'Тростниковый сахар': '30 г', 'Паста тамаринда': '45 г', 'Чеснок': '4 зубчика', 'Рисовая лапша': '170 г', 'Растительное масло': '100 мл', 'Красный лук': '120 г', 'Куриное филе': '300 г', 'Куриное яйцо': '2 штуки', 'Зеленый лук': '15 г', 'Ростки сои': '200 г', 'Листья кинзы (кориандра)': '40 г', 'Жареный арахис': '120 г', 'Лайм': '2 штуки', 'Соль': 'по вкусу'}","['Пошаговые рецепты', 'Основные блюда', 'Тайская кухня']",https://eda.ru/recepty/osnovnye-blyuda/pad-tay-93341,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120214131925/180906154651/p_O.jpg
Пирог с беконом и моцареллой,"{'Бекон': '250 г', 'Сыр моцарелла': '300 г', 'Помидоры': '5 штук', 'Базилик': '1 пучок', 'Слоеное тесто': '250 г', 'Смесь итальянских трав': 'по вкусу'}","['Пошаговые рецепты', 'Выпечка и десерты', 'Тайская кухня']",https://eda.ru/recepty/vypechka-deserty/pirog-s-bekonom-i-mocarelloj-36460,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/121010154332/130322204535/p_O.jpg
Желтый карри,"{'Растительное масло': '30 мл', 'Репчатый лук': '1 головка', 'Куриное филе': '450 г', 'Желтая паста карри': '125 г', 'Мини картофель': '10 штук', 'Кокосовые сливки': '400 мл', 'Рыбный соус': '2 чайные ложки', 'Коричневый сахар': '1 чайная ложка', 'Соль': 'по вкусу', 'Кинза': 'по вкусу', 'Жасминовый рис': 'по вкусу'}","['Пошаговые рецепты', 'Основные блюда', 'Тайская кухня']",https://eda.ru/recepty/osnovnye-blyuda/zheltyy-karri-137247,Тайская,https://eda.ru/img/eda/c20x20i/s1.eda.ru/StaticContent/Photos/170224135654/191007120913/p_O.jpg
Тайский салат Сом там,"{'Зеленая папайя': '300 г', 'Арахис': '30 г', 'Чеснок': '2 зубчика', 'Тайский острый перец птичий глаз': '3 штуки', 'Сушеные креветки': '1 столовая ложка', 'Пальмовый сахар': '70 г', 'Помидоры черри': '7 штук', 'Лайм': '½ штуки', 'Рыбный соус': '1,5 столовые ложки', 'Кенийская фасоль': '100 г'}","['Пошаговые рецепты', 'Салаты', 'Тайская кухня']",https://eda.ru/recepty/salaty/som-tam-50327,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120213182322/180620151316/p_O.jpg
Липкий рис с манго,"{'Жасминовый рис': '175 г', 'Кокосовое молоко': '250 мл', 'Сахар': '2 столовые ложки', 'Соль': 'щепотка', 'Тайское манго': '1 штука', 'Черные кунжутные семечки': 'по вкусу'}","['Пошаговые рецепты', 'Завтраки', 'Тайская кухня']",https://eda.ru/recepty/zavtraki/lipkiy-ris-s-mango-92512,Тайская,https://eda.ru/img/eda/c20x20i/s2.eda.ru/StaticContent/Photos/120131082454/170512132626/p_O.jpg
